time,src,dst,protocol,alert
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,140.82.114.26,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,192.168.29.110,13.89.179.11,6,
19:29:18,140.82.114.26,192.168.29.110,6,
19:29:18,13.89.179.11,192.168.29.110,6,
19:29:18,192.168.29.110,51.116.246.105,6,
19:29:18,13.203.1.146,192.168.29.110,6,
19:29:18,192.168.29.110,13.203.1.146,6,
19:29:18,51.116.246.105,192.168.29.110,6,
19:29:18,192.168.29.110,224.0.0.22,2,
19:29:18,192.168.29.110,224.0.0.22,2,
19:29:18,192.168.29.110,34.208.116.103,6,
19:29:18,192.168.29.110,34.208.116.103,6,
19:29:18,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,192.168.29.110,34.208.116.103,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
19:29:19,34.208.116.103,192.168.29.110,6,
